timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103353273,1746, Request1,200,OK,Thread Group 1-5,text,true,,18171,234,10,10,https://www.google.com/,1264,0,0
1667103353273,1264, Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,1264,0,0
1667103354537,482, Request1-1,200,OK,Thread Group 1-5,text,true,,17468,119,10,10,https://www.google.com/,287,0,0
1667103353390,1632, Request1,200,OK,Thread Group 1-6,text,true,,18156,234,10,10,https://www.google.com/,1123,0,0
1667103353390,1123, Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,1123,0,0
1667103354513,509, Request1-1,200,OK,Thread Group 1-6,text,true,,17453,119,10,10,https://www.google.com/,284,0,0
1667103353435,1636, Request1,200,OK,Thread Group 1-9,text,true,,18191,234,10,10,https://www.google.com/,1122,0,0
1667103353435,1122, Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,1122,0,0
1667103354557,514, Request1-1,200,OK,Thread Group 1-9,text,true,,17488,119,10,10,https://www.google.com/,270,0,0
1667103354301,965, Request1,200,OK,Thread Group 1-1,text,true,,18194,234,10,10,https://www.google.com/,385,0,0
1667103354301,385, Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,385,0,0
1667103354687,579, Request1-1,200,OK,Thread Group 1-1,text,true,,17491,119,10,10,https://www.google.com/,400,0,0
1667103354357,967, Request1,200,OK,Thread Group 1-3,text,true,,18182,234,10,10,https://www.google.com/,469,0,0
1667103354357,469, Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,469,0,0
1667103354826,498, Request1-1,200,OK,Thread Group 1-3,text,true,,17479,119,10,10,https://www.google.com/,308,0,0
1667103354440,1176, Request1,200,OK,Thread Group 1-4,text,true,,18220,234,10,10,https://www.google.com/,582,0,0
1667103354440,582, Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,582,0,0
1667103355022,594, Request1-1,200,OK,Thread Group 1-4,text,true,,17517,119,10,10,https://www.google.com/,360,0,0
1667103354446,1321, Request1,200,OK,Thread Group 1-10,text,true,,18178,234,10,10,https://www.google.com/,770,0,0
1667103354475,1210, Request1,200,OK,Thread Group 1-8,text,true,,18202,234,10,10,https://www.google.com/,717,0,0
1667103354446,770, Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,770,0,0
1667103354475,717, Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,717,0,0
1667103355216,551, Request1-1,200,OK,Thread Group 1-10,text,true,,17475,119,10,10,https://www.google.com/,259,0,0
1667103354413,1313, Request1,200,OK,Thread Group 1-2,text,true,,18188,234,10,10,https://www.google.com/,817,0,0
1667103355192,493, Request1-1,200,OK,Thread Group 1-8,text,true,,17499,119,10,10,https://www.google.com/,209,0,0
1667103354413,817, Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,817,0,0
1667103355230,496, Request1-1,200,OK,Thread Group 1-2,text,true,,17485,119,10,10,https://www.google.com/,216,0,0
1667103355022,931, Request1,200,OK,Thread Group 1-6,text,true,,18182,234,10,10,https://www.google.com/,559,0,0
1667103355022,559, Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,559,0,0
1667103355581,372, Request1-1,200,OK,Thread Group 1-6,text,true,,17479,119,10,10,https://www.google.com/,221,0,0
1667103355019,965, Request1,200,OK,Thread Group 1-5,text,true,,18137,234,10,10,https://www.google.com/,537,0,0
1667103355019,537, Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,537,0,0
1667103355557,427, Request1-1,200,OK,Thread Group 1-5,text,true,,17434,119,10,10,https://www.google.com/,269,0,0
1667103355072,1139, Request1,200,OK,Thread Group 1-9,text,true,,18143,234,10,10,https://www.google.com/,695,0,0
1667103355072,695, Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,695,0,0
1667103355282,902, Request1,200,OK,Thread Group 1-1,text,true,,18150,234,10,10,https://www.google.com/,499,0,0
1667103355767,444, Request1-1,200,OK,Thread Group 1-9,text,true,,17440,119,10,10,https://www.google.com/,255,0,0
1667103355282,499, Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,499,0,0
1667103355782,402, Request1-1,200,OK,Thread Group 1-1,text,true,,17447,119,10,10,https://www.google.com/,251,0,0
